,,,,,归属母公司股东的净利润同比增长率(%),,,,,,,归属母公司股东的净利润-扣除非经常损益同比增长率(%),,,,,,,营业总收入同比增长率(%),,,,,,,销售毛利率,,,,,,,销售净利率,,,,,,,加权平均净资产收益率,,,,,,
ts_code,name,area,industry,list_date,20200331_x,20190331_x,20191231_x,20181231_x,20171231_x,20161231_x,20151231_x,20200331_y,20190331_y,20191231_y,20181231_y,20171231_y,20161231_y,20151231_y,20200331_x,20190331_x,20191231_x,20181231_x,20171231_x,20161231_x,20151231_x,20200331_y,20190331_y,20191231_y,20181231_y,20171231_y,20161231_y,20151231_y,20200331_x,20190331_x,20191231_x,20181231_x,20171231_x,20161231_x,20151231_x,20200331_y,20190331_y,20191231_y,20181231_y,20171231_y,20161231_y,20151231_y
000004.SZ,国农科技,深圳,生物制药,19910114,-28.6733,159.6472,115.2898,-336.6224,-78.2013,3051.2095,-67.193,176.12,-1628.3,-16.17,-664.51,-118.99,1731.22,152.49,-78.2586,41.4665,-70.4944,164.685,-51.8178,138.8206,49.4308,83.0721,76.6223,73.0102,81.8792,61.9412,34.6221,35.2808,15.3756,4.4749,-3.3294,-5.8911,4.2511,13.8062,5.6927,0.27,4.78,2.8,-17.0,6.41,38.84,1.54
000028.SZ,国药一致,深圳,医药商业,19930809,-16.9144,2.5338,5.0008,14.4594,-10.8507,27.9203,16.6767,-18.73,4.36,4.32,13.57,24.1,17.53,17.01,6.2339,15.8215,20.6931,4.5052,0.0371,9.0672,8.5112,11.3319,10.9595,11.0544,11.8228,10.77,11.1524,7.7755,2.301,2.901,2.8518,3.127,2.8033,3.1077,3.0291,1.92,2.55,10.43,11.56,11.91,15.06,14.94
000078.SZ,海王生物,深圳,医药商业,19981218,-40.0702,-13.4889,-41.8939,-34.8354,52.099,-11.867,1895.3821,-39.69,-18.88,-41.62,-87.16,71.97,197.79,661.02,-23.5176,14.5774,8.1077,53.8952,83.2999,22.3803,13.4191,12.5998,11.7265,13.3055,13.1336,14.4168,14.8733,14.6455,1.7147,1.9168,1.3324,1.8065,3.2913,3.6664,4.6636,1.26,2.2,3.34,7.25,11.55,11.87,28.16
000150.SZ,宜华健康,广东,医疗保健,20000807,-204.0493,-47.2564,-986.1857,1.989,-76.581,1342.2542,73.0659,-205.17,-47.19,-1413.93,-19.36,-77.88,1299.2,100.08,-24.9402,-8.8252,-18.6825,4.1503,63.2274,25.7199,554.0287,11.2124,30.3847,18.2124,31.1081,31.5223,25.9157,23.7002,-14.4642,10.4653,-86.6971,9.1053,8.7099,57.2897,5.3394,-0.91,2.15,-91.57,7.55,7.08,36.35,3.3
000153.SZ,丰原药业,安徽,化学制药,20000920,29.2647,44.6266,32.8178,-6.7665,42.5686,30.2922,-20.9836,18.62,6.37,-2.41,-10.13,27.65,56.51,-34.32,-2.0059,5.2608,7.4557,16.8841,26.7702,29.5827,-8.5142,36.4327,36.6848,38.155,38.9499,30.5994,26.6128,26.8675,2.9019,2.1979,2.4894,2.0146,2.5347,2.2477,2.0246,1.6,1.28,6.19,4.9,5.53,3.98,2.86
000403.SZ,双林生物,山西,生物制药,19960628,2.6405,-13.7731,100.6032,270.3439,-56.8831,-30.5134,-36.6918,71.59,-43.9,104.84,25.34,-5.8911,-30.63,-3.1,18.7989,-18.8828,6.4911,25.4553,22.1242,13.4262,2.201,43.661,48.8458,52.3389,53.3255,56.9813,56.0187,52.9386,11.5204,13.2143,17.2376,8.7155,2.2243,7.8107,13.3608,3.07,3.75,22.28,13.38,3.97,10.22,16.8
000411.SZ,英特集团,浙江,医药商业,19960716,8.8827,32.0883,60.9928,12.4096,-3.8655,26.3079,5.0598,4.18,29.73,35.29,13.89,-3.81,25.5,10.59,-0.7147,10.9346,20.0505,8.382,9.5612,11.5792,9.8952,6.6091,6.5991,6.676,6.6096,6.0576,5.6579,5.5623,1.2542,1.245,1.3726,1.0924,1.0126,1.1119,0.9951,2.16,3.22,12.4,10.59,10.42,12.12,10.72
000423.SZ,东阿阿胶,山东,中成药,19960729,-121.3306,-35.4825,-121.2923,1.9817,10.358,13.9965,19.0018,-125.48,-38.36,-128.03,-2.32,12.73,16.17,18.4,-66.1137,-23.8279,-59.6825,-0.4615,16.7039,15.9179,35.9354,33.6293,66.9764,47.6514,65.9902,65.0456,66.9546,64.6079,-19.2346,30.1869,-15.0538,28.4344,27.7252,29.3668,30.0535,-0.79,3.42,-4.13,19.72,22.46,24.1,24.78
000503.SZ,国新健康,海南,医疗保健,19921130,-43.0385,15.1294,109.2819,-1226.0063,-40.492,21.4964,-7.6626,1.8141,4.7603,6.005,24.3471,-145.7466,-67.7271,1.4181,1.6889,38.9385,36.0628,-48.1069,-15.1451,11.8693,-0.6377,-136.0156,-151.788,-25.7121,-62.9208,1.7457,32.092,43.2014,-414.2996,-297.3137,11.9259,-197.6449,-0.1629,6.0426,4.9755,-5.99,-4.19,1.44,-14.33,1.17,2.0152,1.74
000509.SZ,*ST华塑,四川,医疗保健,19930507,-149.4393,37.0196,-141.0532,-529.5627,117.5235,-537.5062,132.0375,-22.45,44.61,20.11,-274.0,89.23,-20.52,-82.0304,-30.5162,-97.4714,-94.2005,-46.0436,2742.5065,-55.4193,-21.9526,27.0608,50.1016,50.6466,2.227,0.9523,6.9166,17.5199,-67.0571,-5.208,-176.0699,-4.2097,0.5522,-94.8943,11.2243,,-31.24,,-175.95,29.47,-301.92,32.04
000513.SZ,丽珠集团,广东,化学制药,19931028,1.6764,13.073,20.3942,-75.5644,433.6308,25.972,20.6719,22.55,15.28,25.79,15.51,20.16,26.77,16.27,-3.9434,10.064,5.9142,3.8646,11.4901,15.5767,19.4127,64.8609,64.9943,63.8589,62.0834,63.8601,64.0895,61.1008,18.4697,16.9014,15.5741,13.3367,52.6048,10.8461,9.9624,3.51,3.62,12.02,10.15,51.17,15.48,15.51
000516.SZ,国际医学,陕西,医疗保健,19930809,-765.5128,42.9669,-118.4925,1022.8265,-1.588,-16.3605,-31.1913,-2799.04,-64.98,-1264.83,-117.04,-6.4,-2.41,-10.9,24.9623,-80.8692,-51.4083,-49.7652,3.2773,0.7772,0.4383,-25.3769,28.6545,14.3104,22.1038,19.8882,20.2488,20.2306,-69.9776,12.706,-41.6314,109.9997,4.8474,5.1211,6.1788,-3.9,0.5,-7.48,46.2,5.57,5.93,8.94
000518.SZ,四环生物,江苏,生物制药,19930908,180.5878,-458.8028,148.6786,-503.9242,62.9447,106.0083,-1349.7979,187.33,-437.88,132.97,-103.18,-2705.75,100.64,-33357.85,131.6933,-21.2342,5.6545,14.2924,5.7258,37.6169,-1.404,48.1938,79.2989,74.4183,75.1298,76.0593,65.4204,62.1541,5.2816,-20.4661,4.1869,-7.5134,3.0776,1.7135,-47.4696,1.67,-2.16,2.36,-4.8,1.17,0.73,-11.56
000534.SZ,万泽股份,广东,生物制药,19940110,135.0867,-49.283,-51.2251,-31.5671,17.4317,64.1041,-9.3811,290.41,136.11,104.77,60.23,-27.9,-1125.38,-126.42,31.6702,15.3733,-22.2941,1.2897,31.0627,-60.4157,-6.6135,87.3234,89.5169,87.9404,51.6335,47.663,35.6679,51.3732,26.548,5.0817,9.4694,16.4744,30.2566,36.7433,7.6859,4.65,2.15,5.93,3.97,6.32,5.7,3.54
000538.SZ,云南白药,云南,中成药,19931215,-34.4814,4.9686,19.7482,5.1378,7.7094,5.3787,10.5649,39.81,8.54,-20.8,4.91,3.01,3.24,15.37,10.5262,10.0355,9.8004,9.8443,8.4958,8.065,10.225,28.6428,28.3023,28.5636,30.5478,31.1872,29.8639,30.5342,16.5738,12.1171,14.0674,12.3174,12.8833,13.0781,13.2875,3.21,3.97,10.31,17.37,18.55,20.03,22.43
000566.SZ,海南海药,海南,化学制药,19940525,-237.9391,1.3051,-233.0898,38.0282,-47.3807,-15.6922,19.957,-270.4,-3.59,-93967.27,97.24,-123.06,-28.08,24.68,-33.5,14.9864,-1.0713,35.475,18.17,-8.0022,21.1975,31.2482,47.6416,50.8747,53.3957,48.1091,52.3797,42.4055,-20.9603,9.2077,-7.9602,4.1391,4.4508,10.5592,12.0264,-2.3,1.5,-3.51,2.53,1.64,4.88,9.25
000590.SZ,启迪古汉,湖南,中成药,19960119,-17.6755,97.6748,211.1625,-299.1285,-65.2493,146.6231,126.0839,-22.29,192.9,146.67,-465.04,2.02,-29.22,119.7715,-31.1638,48.4939,69.5456,-45.9127,8.2318,7.6992,45.0948,57.0095,50.3405,53.2209,47.229,56.1223,52.5656,55.2256,14.6814,12.276,13.4723,-20.548,2.8835,15.7866,7.591,1.42,1.84,7.06,-6.77,4.42,23.64,11.48
